,previous_order_index,kunwe_y,kunnr_y,kunwe_x,xref_x,history,kunnr_x,xref_y,index_final_history
0,0,others,others,2000410611,MULTI GROH,0.2611775121735281,2002213856,others,1
0,1,2000079120,2002213887,2000079120,MULTI GROH,0.1097560975609756,2002213887,MULTI GROH,2
15,2,2002798569,2002213887,2002798569,MULTI GROH,0.10248447204968944,2002213887,MULTI GROH,3
0,3,others,2002213888,2001388083,PGP,0.3876500857632933,2002213888,others,4
35,4,2002798569,2002213887,2002798569,FABRIC,0.12244897959183673,2002213887,FABRIC,5
0,5,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,6
1,6,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,7
2,7,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,8
3,8,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,9
4,9,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,10
5,10,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,11
6,11,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,12
7,12,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,13
523,13,2000031166,2002213963,2000031166,FEM CARE,0.8864864864864865,2002213963,others,14
1,14,others,others,2001005182,FABRIC,0.2611775121735281,2002213860,others,15
8,15,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,16
9,16,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,17
10,17,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,18
11,18,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,19
12,19,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,20
13,20,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,21
14,21,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,22
15,22,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,23
16,23,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,24
17,24,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,25
2,25,others,others,2000008478,MULTI GROH,0.2611775121735281,2002213856,others,26
39,26,2000511811,2002213887,2000511811,FABRIC,0.07419354838709677,2002213887,FABRIC,27
36,27,2002798569,2002213887,2002798569,FABRIC,0.12244897959183673,2002213887,FABRIC,28
18,28,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,29
3,29,others,others,2000008478,GROOMING,0.2611775121735281,2002213856,others,30
43,30,2000079120,2002213887,2000079120,FABRIC,0.18292682926829268,2002213887,FABRIC,31
1,31,others,2002213888,2002399649,PGP,0.3876500857632933,2002213888,others,32
19,32,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,33
20,33,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,34
21,34,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,35
22,35,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,36
23,36,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,37
24,37,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,38
25,38,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,39
26,39,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,40
27,40,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,41
37,41,2002798569,2002213887,2002798569,FABRIC,0.12244897959183673,2002213887,FABRIC,42
28,42,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,43
29,43,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,44
30,44,2002213918,2002213918,2002213918,UNIDENTIFI,0.05562130177514793,2002213918,others,45
