,FIN_KUNNR_hist_group,ZZ_XREF3,xref_label,rank_xref_in_kunnr
73,2002213849,others,others,1
292,2002213849,FABRIC,others,1
364,2002213849,MULTI GROH,others,1
431,2002213849,PHC,others,1
498,2002213849,BEAUTY,others,1
558,2002213849,HAIR,others,1
568,2002213849,MULTI HABA,others,1
613,2002213849,BABY,others,1
146,2002213853,MULTI GROH,MULTI GROH,1
99,2002213853,FABRIC,FABRIC,2
186,2002213853,PHC,others,3
188,2002213853,BEAUTY,others,3
201,2002213853,BABY,others,3
217,2002213853,others,others,3
256,2002213853,HAIR,others,3
299,2002213853,FEM CARE,others,3
556,2002213853,MULTI HABA,others,3
567,2002213853,COSMETICS,others,3
164,2002213853,GROOMING,GROOMING,4
69,2002213853,FAMILY,FAMILY,5
141,2002213879,MULTI PAPE,MULTI PAPE,1
104,2002213879,FAMILY,FAMILY,2
45,2002213879,MULTI GROH,MULTI GROH,3
300,2002213879,FEM CARE,others,4
356,2002213879,BEAUTY,others,4
503,2002213879,HAIR,others,4
485,2002213879,PET,others,4
453,2002213879,MULTI HABA,others,4
390,2002213879,MULTI GROC,others,4
362,2002213879,BATTERIES,others,4
559,2002213879,COSMETICS,others,4
310,2002213879,FABRIC,others,4
288,2002213879,GROOMING,others,4
222,2002213879,BABY,others,4
101,2002213879,others,others,4
138,2002213879,PHC,PHC,5
19,2002213879,APPLIANCE,APPLIANCE,6
126,2002213882,FABRIC,FABRIC,1
342,2002213882,FEM CARE,others,2
550,2002213882,APPLIANCE,others,2
526,2002213882,PGP,others,2
471,2002213882,COSMETICS,others,2
404,2002213882,BATTERIES,others,2
346,2002213882,MULTI HABA,others,2
343,2002213882,GROOMING,others,2
316,2002213882,BEAUTY,others,2
181,2002213882,MULTI GROH,others,2
313,2002213882,BABY,others,2
295,2002213882,others,others,2
275,2002213882,MULTI GROC,others,2
264,2002213882,HAIR,others,2
254,2002213882,PHC,others,2
205,2002213882,FAMILY,others,2
563,2002213882,PET,others,2
60,2002213887,COSMETICS,COSMETICS,1
52,2002213887,PHC,PHC,2
61,2002213887,HAIR,others,3
78,2002213887,BEAUTY,others,3
89,2002213887,MULTI HABA,others,3
129,2002213887,BABY,others,3
