,FIN_KUNNR_hist_group,KUNWE,kunwe_label,rank_kunwe_in_kunnr
100,2002213849,2002213849,2002213849,1.0
828,2002213849,2002607323,others,2.0
943,2002213849,2001250952,others,2.0
946,2002213849,2000885386,others,2.0
983,2002213849,2000055107,others,2.0
1064,2002213849,2000416423,others,2.0
1066,2002213849,2000561366,others,2.0
1171,2002213849,2002474624,others,2.0
1235,2002213849,2000078468,others,2.0
1493,2002213849,2001098059,others,2.0
1598,2002213849,2000012760,others,2.0
2099,2002213849,2000081425,others,2.0
397,2002213853,2000033573,others,1.0
557,2002213853,2000562008,others,1.0
633,2002213853,2000029039,others,1.0
716,2002213853,2000017567,others,1.0
831,2002213853,2000037623,others,1.0
937,2002213853,2000035392,others,1.0
1070,2002213853,2000019807,others,1.0
2198,2002213853,others,others,1.0
2201,2002213853,2000067657,others,1.0
261,2002213853,2002213853,2002213853,2.0
176,2002213853,2000007657,2000007657,3.0
27,2002213853,2000012822,2000012822,4.0
1645,2002213879,2002547007,others,1.0
2483,2002213879,2000489242,others,1.0
2323,2002213879,2002319243,others,1.0
2324,2002213879,2002610193,others,1.0
2328,2002213879,2002452280,others,1.0
2331,2002213879,2002793386,others,1.0
2334,2002213879,2002245365,others,1.0
2340,2002213879,2002635435,others,1.0
2342,2002213879,2002682136,others,1.0
2345,2002213879,2002682137,others,1.0
2349,2002213879,2002719362,others,1.0
2350,2002213879,2002793384,others,1.0
2355,2002213879,2000059696,others,1.0
2372,2002213879,2000057276,others,1.0
2409,2002213879,2000058831,others,1.0
2446,2002213879,2000579557,others,1.0
2448,2002213879,2000579555,others,1.0
2449,2002213879,2000554327,others,1.0
2460,2002213879,2000416418,others,1.0
2312,2002213879,2000072494,others,1.0
2311,2002213879,2000072084,others,1.0
2309,2002213879,2000061620,others,1.0
1764,2002213879,2001108522,others,1.0
1649,2002213879,2002253052,others,1.0
1650,2002213879,2002719361,others,1.0
1654,2002213879,2002188944,others,1.0
1670,2002213879,2002892858,others,1.0
1680,2002213879,2002059076,others,1.0
1759,2002213879,2002086775,others,1.0
1762,2002213879,2000554325,others,1.0
1771,2002213879,2001684918,others,1.0
2305,2002213879,2000072486,others,1.0
1774,2002213879,2001114228,others,1.0
1783,2002213879,2000554324,others,1.0
1798,2002213879,2000841292,others,1.0
1805,2002213879,2001017126,others,1.0
1806,2002213879,2001239449,others,1.0
1906,2002213879,2000025566,others,1.0
2292,2002213879,2000080705,others,1.0
2461,2002213879,2000436927,others,1.0
2484,2002213879,2000554322,others,1.0
1646,2002213879,2002466449,others,1.0
2493,2002213879,2000488814,others,1.0
2558,2002213879,2001083746,others,1.0
2560,2002213879,2001083747,others,1.0
2564,2002213879,2001235416,others,1.0
2566,2002213879,2001235417,others,1.0
2567,2002213879,2001440616,others,1.0
2568,2002213879,2000056202,others,1.0
2592,2002213879,2000029088,others,1.0
2667,2002213879,2000028246,others,1.0
2730,2002213879,2000044398,others,1.0
2731,2002213879,2000044403,others,1.0
2749,2002213879,2000053858,others,1.0
2754,2002213879,2000053034,others,1.0
2772,2002213879,2000051050,others,1.0
2791,2002213879,2000036547,others,1.0
2794,2002213879,2000040162,others,1.0
2817,2002213879,2000041784,others,1.0
2827,2002213879,2000044396,others,1.0
2556,2002213879,2000392203,others,1.0
2553,2002213879,2001050297,others,1.0
2551,2002213879,2001017125,others,1.0
2518,2002213879,2000381671,others,1.0
2500,2002213879,2001589066,others,1.0
2506,2002213879,2001592411,others,1.0
2507,2002213879,2001574347,others,1.0
2508,2002213879,2001890263,others,1.0
2510,2002213879,2001539108,others,1.0
2515,2002213879,2001878451,others,1.0
2516,2002213879,2002054803,others,1.0
2524,2002213879,2000381670,others,1.0
2550,2002213879,2000585784,others,1.0
2536,2002213879,2000844849,others,1.0
2537,2002213879,2000892142,others,1.0
2538,2002213879,2000883602,others,1.0
2539,2002213879,2000883601,others,1.0
2542,2002213879,2000854215,others,1.0
2544,2002213879,2001539106,others,1.0
2548,2002213879,2000824443,others,1.0
1648,2002213879,2002326036,others,1.0
2850,2002213879,2000043845,others,1.0
1186,2002213879,2000056404,others,1.0
1092,2002213879,2001539105,others,1.0
1009,2002213879,2000055560,others,1.0
1034,2002213879,2000024058,others,1.0
1054,2002213879,2000836367,others,1.0
1056,2002213879,2000836368,others,1.0
1059,2002213879,2000022502,others,1.0
1088,2002213879,2000854530,others,1.0
1090,2002213879,2001217007,others,1.0
1096,2002213879,2001235415,others,1.0
1004,2002213879,2000057275,others,1.0
1109,2002213879,2000051543,others,1.0
1111,2002213879,2000051544,others,1.0
1120,2002213879,2000354596,others,1.0
1121,2002213879,2000554323,others,1.0
1128,2002213879,2000044585,others,1.0
1145,2002213879,2000046944,others,1.0
1146,2002213879,2000046945,others,1.0
1006,2002213879,2002211267,others,1.0
992,2002213879,2001653251,others,1.0
1641,2002213879,2002309055,others,1.0
854,2002213879,2000565163,others,1.0
748,2002213879,2002537087,others,1.0
768,2002213879,2000043111,others,1.0
787,2002213879,2000080704,others,1.0
788,2002213879,2000055562,others,1.0
793,2002213879,2000850532,others,1.0
815,2002213879,2001235418,others,1.0
827,2002213879,2000059675,others,1.0
855,2002213879,2001539104,others,1.0
989,2002213879,2002319246,others,1.0
859,2002213879,2000079925,others,1.0
905,2002213879,2002188947,others,1.0
912,2002213879,2000043153,others,1.0
914,2002213879,2000565162,others,1.0
941,2002213879,2000057123,others,1.0
975,2002213879,2000044663,others,1.0
985,2002213879,2002448910,others,1.0
1168,2002213879,2001539107,others,1.0
1208,2002213879,2000072083,others,1.0
1391,2002213879,2000381667,others,1.0
1218,2002213879,2000077104,others,1.0
1434,2002213879,2000028135,others,1.0
1501,2002213879,2000051546,others,1.0
1503,2002213879,2000047013,others,1.0
1524,2002213879,2000054197,others,1.0
1526,2002213879,2000054199,others,1.0
1527,2002213879,2000080702,others,1.0
1528,2002213879,2000079279,others,1.0
1529,2002213879,2000077106,others,1.0
1530,2002213879,2000077105,others,1.0
1531,2002213879,2000072086,others,1.0
1532,2002213879,2000061069,others,1.0
1533,2002213879,2000060007,others,1.0
1534,2002213879,2000059676,others,1.0
1535,2002213879,2000059018,others,1.0
1536,2002213879,2000059017,others,1.0
1400,2002213879,2000080703,others,1.0
1381,2002213879,2000353619,others,1.0
1548,2002213879,2000040574,others,1.0
1375,2002213879,2000416417,others,1.0
1220,2002213879,2000836369,others,1.0
1252,2002213879,2002093067,others,1.0
1273,2002213879,2000078577,others,1.0
1275,2002213879,2000033976,others,1.0
1276,2002213879,2000036224,others,1.0
1277,2002213879,2000077107,others,1.0
1281,2002213879,2000554326,others,1.0
1311,2002213879,2000025568,others,1.0
1318,2002213879,2000026102,others,1.0
1336,2002213879,2000081148,others,1.0
1341,2002213879,2000335757,others,1.0
1343,2002213879,2000489239,others,1.0
1345,2002213879,2000335751,others,1.0
1351,2002213879,2000410272,others,1.0
1361,2002213879,2000410273,others,1.0
1547,2002213879,2000055995,others,1.0
197,2002213879,2000852301,2000852301,2.0
131,2002213879,2000032869,2000032869,3.0
97,2002213879,2000541384,2000541384,4.0
7,2002213879,2002213879,2002213879,5.0
257,2002213882,2000017874,2000017874,1.0
303,2002213882,2002213882,others,2.0
476,2002213882,2001958316,others,2.0
477,2002213882,2002674740,others,2.0
478,2002213882,2002765111,others,2.0
507,2002213882,2000013905,others,2.0
526,2002213882,2000025762,others,2.0
528,2002213882,2002197475,others,2.0
556,2002213882,2002765112,others,2.0
682,2002213882,2000552012,others,2.0
825,2002213882,2002771815,others,2.0
931,2002213882,2002674236,others,2.0
1676,2002213882,2001100967,others,2.0
226,2002213882,2000001898,2000001898,3.0
30,2002213887,2002479890,others,1.0
133,2002213887,2002856131,others,1.0
841,2002213887,2002896688,others,1.0
16,2002213887,2000079120,2000079120,2.0
21,2002213887,2002798569,2002798569,3.0
11,2002213887,2000356302,2000356302,4.0
20,2002213887,2000007093,2000007093,5.0
15,2002213887,2000434009,2000434009,6.0
9,2002213887,2002466368,2002466368,7.0
13,2002213887,2001431615,2001431615,8.0
14,2002213887,2001141020,2001141020,9.0
8,2002213887,2000057340,2000057340,10.0
18,2002213887,2000074093,2000074093,11.0
17,2002213887,2002652527,2002652527,12.0
10,2002213887,2000511811,2000511811,13.0
23,2002213887,2002213887,2002213887,14.0
317,2002213888,2001453126,others,1.0
325,2002213888,2001422147,others,1.0
513,2002213888,2000077051,others,1.0
523,2002213888,2000540549,others,1.0
536,2002213888,2001388083,others,1.0
537,2002213888,2001594548,others,1.0
539,2002213888,2002213888,others,1.0
548,2002213888,2002434689,others,1.0
578,2002213888,2001388101,others,1.0
598,2002213888,2000540599,others,1.0
721,2002213888,2002467703,others,1.0
836,2002213888,2002399649,others,1.0
869,2002213888,2002440498,others,1.0
1013,2002213888,2000396704,others,1.0
2299,2002213888,2002865675,others,1.0
2300,2002213888,2002858505,others,1.0
2301,2002213888,2002315941,others,1.0
508,2002213888,2002300479,others,1.0
506,2002213888,2001388084,others,1.0
501,2002213888,2000081520,others,1.0
406,2002213888,2002300480,others,1.0
343,2002213888,2001453125,others,1.0
379,2002213888,2002219003,others,1.0
383,2002213888,2001388103,others,1.0
385,2002213888,2002320098,others,1.0
401,2002213888,2002320100,others,1.0
403,2002213888,2000411994,others,1.0
407,2002213888,2002525616,others,1.0
500,2002213888,2001388082,others,1.0
428,2002213888,2001811342,others,1.0
448,2002213888,2000072774,others,1.0
452,2002213888,2002264005,others,1.0
465,2002213888,2002379715,others,1.0
472,2002213888,2000077052,others,1.0
484,2002213888,2001388391,others,1.0
2320,2002213888,2000537940,others,1.0
2298,2002213894,2000045289,others,1.0
227,2002213894,2002213894,others,1.0
2297,2002213894,2000072887,others,1.0
2296,2002213894,2000505301,others,1.0
2294,2002213894,2001017943,others,1.0
2293,2002213894,2002813069,others,1.0
2287,2002213894,2002212136,others,1.0
1674,2002213894,2000861429,others,1.0
1672,2002213894,2001064854,others,1.0
163,2002213894,2000885386,2000885386,2.0
148,2002213894,2000416423,2000416423,3.0
136,2002213894,2000012760,2000012760,4.0
138,2002213894,2002607323,2002607323,5.0
143,2002213894,2002474624,2002474624,6.0
152,2002213894,2000055107,2000055107,7.0
150,2002213894,2000561366,2000561366,8.0
119,2002213894,2001098059,2001098059,9.0
129,2002213894,2000081425,2000081425,10.0
124,2002213894,2001250952,2001250952,11.0
128,2002213894,2000078468,2000078468,12.0
232,2002213895,2000079403,2000079403,1.0
155,2002213895,2000057154,2000057154,2.0
202,2002213895,2000016576,2000016576,3.0
250,2002213895,2000024883,2000024883,4.0
19,2002213895,2002213895,2002213895,5.0
175,2002213895,2000013246,2000013246,6.0
241,2002213895,2000299984,2000299984,7.0
