,KUNWE,ship_to_history
277,others,0.4287773240451597
2444,2002885409,0.19642857142857142
2432,2002861259,0.22758620689655173
2431,2002861258,0.21052631578947367
2425,2002858497,0.900990099009901
2418,2002856131,0.1946564885496183
2388,2002837501,0.14220183486238533
2379,2002827265,0.848780487804878
2361,2002810293,0.1917808219178082
2351,2002798569,0.10658016682113068
2349,2002797453,0.8974358974358975
2325,2002788993,0.2072072072072072
2305,2002784198,0.8936170212765957
2299,2002780767,0.9223300970873787
2284,2002766690,0.5428571428571428
2283,2002766688,0.23295454545454544
2280,2002765281,0.34
2265,2002748089,0.1625
2264,2002744236,0.009316770186335404
2258,2002739241,0.863080684596577
2257,2002736497,0.927536231884058
2213,2002680692,0.8661971830985915
2196,2002652527,0.08495145631067962
2195,2002649687,0.7425742574257426
2154,2002607323,0.12121212121212122
2134,2002552776,0.42105263157894735
2080,2002483151,0.962432915921288
2079,2002482641,0.24299065420560748
2077,2002479890,0.13507109004739337
2074,2002474624,0.11507936507936507
2068,2002466368,0.09974905897114178
2014,2002369802,0.855
2009,2002329096,0.9603658536585366
2003,2002325574,0.9613899613899614
2002,2002325330,0.9256505576208178
1977,2002301040,0.9217391304347826
1967,2002294243,0.2524271844660194
1958,2002277909,0.9525862068965517
1950,2002254378,0.0392156862745098
1935,2002254212,0.7292817679558011
1926,2002253691,0.029982363315696647
1919,2002253485,0.3161290322580645
1913,2002253256,0.6062176165803109
1900,2002248260,0.7272727272727273
1898,2002237010,0.027932960893854747
1885,2002219697,0.9764705882352941
1877,2002214052,0.7504587155963303
1876,2002214045,0.012557077625570776
1874,2002214026,0.46745562130177515
1873,2002214022,0.1871345029239766
1867,2002213990,0.12171052631578948
1866,2002213981,0.0023768651789251288
1863,2002213975,0.6301703163017032
1859,2002213963,0.22015915119363394
1852,2002213931,0.039045553145336226
1851,2002213923,0.02564102564102564
1850,2002213922,0.017699115044247787
1849,2002213918,0.04020833333333333
1848,2002213917,0.06779661016949153
1847,2002213915,0.027090694935217905
1845,2002213906,0.053497942386831275
1843,2002213902,0.011673151750972763
1841,2002213895,0.19470538001707943
1840,2002213894,0.48322147651006714
1836,2002213887,0.03731343283582089
1834,2002213879,0.01854974704890388
1830,2002213853,0.27927927927927926
1829,2002213849,0.9221105527638191
1822,2002204987,0.8771929824561403
1815,2002190514,0.9351851851851852
1810,2002188508,0.9812734082397003
1807,2002166661,0.92
1801,2002102894,0.05063291139240506
1800,2002102847,0.9880952380952381
1786,2002055912,0.9218106995884774
1775,2001956087,0.5767195767195767
1767,2001940428,0.925
1762,2001932922,0.9548693586698337
1761,2001932920,0.9506849315068493
1754,2001881071,0.19202898550724637
1742,2001840283,0.12598425196850394
1735,2001832528,0.8664955070603337
1717,2001803098,0.3008130081300813
1716,2001802322,0.0
1681,2001670805,0.49101796407185627
1651,2001603414,0.8614457831325302
1632,2001588334,0.17708333333333334
1625,2001570693,0.03963963963963964
1624,2001570692,0.06944444444444445
1622,2001570687,0.06613226452905811
1621,2001570686,0.13679245283018868
1581,2001447863,0.084
1576,2001442459,0.7
1571,2001433676,0.8082706766917294
1566,2001431615,0.09421265141318977
