,amount/mean_amount
0,0.014643044434835651
1,0.02629013224515937
2,0.008763377415053123
3,0.49734554166941725
4,1.1301731413691902
5,0.15959298048300347
6,0.06106174164416188
7,0.22692098325469356
8,0.19472978192947923
9,0.06047628075049501
10,0.0459129410205316
11,0.4053584862525994
12,0.07201168992102507
13,0.1033532295762295
14,0.39244264678320023
15,0.5170717430254091
16,0.1452034494558474
17,0.0513376021134137
18,0.10348021295561935
19,0.04783398457787602
20,0.11845520487644227
21,0.06586435053752293
22,0.04686431497274027
23,0.5111622471299592
24,0.11241763941050267
25,0.022781568997031213
26,1.487948456930895
27,1.0975434706209986
28,0.1620263023223064
29,0.04449414456463035
30,0.7326913800435665
31,0.6445800710414037
32,0.06325721999541264
33,0.06428177655932966
34,0.12227899633820401
35,0.07824135974269911
36,0.08510222959035775
37,0.06121725469404214
38,0.35603340596116556
39,0.08506563828450356
40,0.15448849331634543
41,1.1319362494443617
42,0.0616380547113652
43,0.18039513786110445
44,0.05440212397870123
45,0.054539341375654395
46,0.049663549870584994
47,1.5348714105251364
48,0.06516218212049046
49,0.6169751558337825
50,0.09325294296937621
51,0.6568413835619109
52,0.08906323844907267
53,0.09804640403627371
54,0.19139082527028536
55,0.3045585864507987
56,0.014469800564135795
57,0.19743753856268853
58,0.07388699434605175
59,0.08493756871401394
60,0.06474831570897045
61,2.108221925033314
62,0.12634977911448148
63,0.5536539010531251
64,0.17533638982676414
65,0.04989224553217361
66,0.08873391669638506
67,0.8389840158318936
68,1.4150350703192207
69,0.1030411172853692
70,0.08183645554287222
71,0.04679113236103191
72,0.17049718962754892
73,0.05022156728486123
74,0.08950233411932282
75,0.06654580538844136
76,0.067510959300961
77,0.11105461326743449
78,0.1670027199184748
79,0.09852209101237805
80,0.8233867121572085
81,0.3368412660406485
82,0.2079575389957651
83,0.3773950084390775
84,0.09466170824476212
85,0.04663561931115165
86,1.0783091922168129
87,0.009764906262487766
88,1.4616757123393367
89,0.02096951024316283
90,0.7192576788712054
91,1.413616237785355
92,1.408410374297127
93,0.8710692682736307
94,0.1278033865099978
95,1.1932024399928334
96,0.054246610928820965
97,0.3369235964788204
98,0.13573544906607848
99,0.01556241815775421
100,0.022439018616329222
101,0.02629013224515937
102,0.1426329102195913
103,0.31733810002037083
104,0.05892260284144005
105,0.3988422610951538
106,0.13535431846635912
107,0.017304700266497094
108,1.3769526314016625
109,0.07856970190407805
110,0.07583193801394372
111,0.02139168067073463
112,0.046324593211391124
113,0.015267116105424909
114,1.374181039417616
115,0.221505469988275
116,0.06738288973047137
117,1.328445611276224
118,0.11742436860207962
119,0.048401149818615805
120,0.046774215827268574
121,0.7302814512544269
122,0.07268862907932738
123,0.522241802211409
124,0.26401541956436797
125,1.5051309362196954
126,0.2982496656498315
127,0.055079063137003545
128,0.09559650089721543
129,0.7987155266455095
130,0.860167788133418
131,0.16161465013144685
132,0.946461569397741
133,0.22900668768838178
134,1.26521047615625
135,0.3218662741198256
136,0.07149941163906655
137,1.152701036903025
138,0.2569728734552707
139,0.05932365461608835
140,0.05277381086819024
141,0.04984650639985589
