,kunnr,xref_x,xref_label,xref_y,rank
0,999999999,MULTI GROH,MULTI GROH,MULTI GROH,4
1,2002213887,MULTI GROH,MULTI GROH,MULTI GROH,7
2,2002213887,MULTI GROH,MULTI GROH,MULTI GROH,7
3,2002213888,PGP,PGP,PGP,2
4,2002213887,FABRIC,FABRIC,FABRIC,4
5,2002213918,UNIDENTIFI,others,others,3
6,2002213918,UNIDENTIFI,others,others,3
7,2002213918,UNIDENTIFI,others,others,3
8,2002213918,UNIDENTIFI,others,others,3
9,2002213918,UNIDENTIFI,others,others,3
10,2002213918,UNIDENTIFI,others,others,3
11,2002213918,UNIDENTIFI,others,others,3
12,2002213918,UNIDENTIFI,others,others,3
13,2002213963,FEM CARE,FEM CARE,FEM CARE,1
14,999999999,FABRIC,FABRIC,FABRIC,7
15,2002213918,UNIDENTIFI,others,others,3
16,2002213918,UNIDENTIFI,others,others,3
17,2002213918,UNIDENTIFI,others,others,3
18,2002213918,UNIDENTIFI,others,others,3
19,2002213918,UNIDENTIFI,others,others,3
20,2002213918,UNIDENTIFI,others,others,3
21,2002213918,UNIDENTIFI,others,others,3
22,2002213918,UNIDENTIFI,others,others,3
23,2002213918,UNIDENTIFI,others,others,3
24,2002213918,UNIDENTIFI,others,others,3
25,999999999,MULTI GROH,MULTI GROH,MULTI GROH,4
26,2002213887,FABRIC,FABRIC,FABRIC,4
27,2002213887,FABRIC,FABRIC,FABRIC,4
28,2002213918,UNIDENTIFI,others,others,3
29,999999999,GROOMING,others,others,1
30,2002213887,FABRIC,FABRIC,FABRIC,4
31,2002213888,PGP,PGP,PGP,2
32,2002213918,UNIDENTIFI,others,others,3
33,2002213918,UNIDENTIFI,others,others,3
34,2002213918,UNIDENTIFI,others,others,3
35,2002213918,UNIDENTIFI,others,others,3
36,2002213918,UNIDENTIFI,others,others,3
37,2002213918,UNIDENTIFI,others,others,3
38,2002213918,UNIDENTIFI,others,others,3
39,2002213918,UNIDENTIFI,others,others,3
40,2002213918,UNIDENTIFI,others,others,3
41,2002213887,FABRIC,FABRIC,FABRIC,4
42,2002213918,UNIDENTIFI,others,others,3
43,2002213918,UNIDENTIFI,others,others,3
44,2002213918,UNIDENTIFI,others,others,3
45,2002213918,UNIDENTIFI,others,others,3
46,2002213918,UNIDENTIFI,others,others,3
47,2002213946,BEAUTY,others,FABRIC,2
48,2002213975,UNIDENTIFI,others,others,1
49,2002213918,UNIDENTIFI,others,others,3
50,2002213918,UNIDENTIFI,others,others,3
